benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
rush_hour,d15,hrep,0,d15_p0,stochastic,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p0,greedy,1,27.0,15,,,trusted
rush_hour,d15,vrep,0,d15_p0,stochastic,1,27.9,15,,,trusted
rush_hour,d15,gnn,0,d15_p0,greedy,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p0,stochastic,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p0,greedy,1,27.0,15,,,trusted
rush_hour,d15,mlp,0,d15_p0,stochastic,1,27.4,15,,,trusted
rush_hour,d15,cnn,0,d15_p0,greedy,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p0,stochastic,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p1,greedy,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p1,stochastic,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p1,greedy,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p1,stochastic,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p1,greedy,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p1,stochastic,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p1,greedy,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p1,stochastic,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p1,greedy,1,26.0,15,,,trusted
rush_hour,d15,cnn,0,d15_p1,stochastic,1,26.5,15,,,trusted
rush_hour,d15,hrep,0,d15_p2,greedy,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p2,stochastic,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p2,greedy,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p2,stochastic,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p2,greedy,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p2,stochastic,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p2,greedy,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p2,stochastic,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p2,greedy,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p2,stochastic,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p3,greedy,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p3,stochastic,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p3,greedy,0,,15,,,trusted
rush_hour,d15,vrep,0,d15_p3,stochastic,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p3,greedy,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p3,stochastic,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p3,greedy,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p3,stochastic,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p3,greedy,1,34.0,15,,,trusted
rush_hour,d15,cnn,0,d15_p3,stochastic,1,34.2,15,,,trusted
rush_hour,d15,hrep,0,d15_p4,greedy,1,29.0,15,,,trusted
rush_hour,d15,hrep,0,d15_p4,stochastic,1,29.1,15,,,trusted
rush_hour,d15,vrep,0,d15_p4,greedy,1,28.0,15,,,trusted
rush_hour,d15,vrep,0,d15_p4,stochastic,1,28.0,15,,,trusted
rush_hour,d15,gnn,0,d15_p4,greedy,0,,15,,,trusted
rush_hour,d15,gnn,0,d15_p4,stochastic,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p4,greedy,0,,15,,,trusted
rush_hour,d15,mlp,0,d15_p4,stochastic,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p4,greedy,0,,15,,,trusted
rush_hour,d15,cnn,0,d15_p4,stochastic,0,,15,,,trusted
rush_hour,d15,hrep,0,d15_p5,greedy,1,6.0,15,,,trusted
rush_hour,d15,hrep,0,d15_p5,stochastic,1,6.1,15,,,trusted
rush_hour,d15,vrep,0,d15_p5,greedy,1,6.0,15,,,trusted
